Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Byts/s,Flow Pkts/s,Pkt Len Min,Pkt Len Max,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Prediction
54415,17,1718887636.033322,0.0624125003814697,0,115,0,147454,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.034305,0.0624125003814697,0,116,0,148746,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.034305,0.0633955001831054,0,117,0,150038,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.034305,0.0633955001831054,0,118,0,151330,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.034305,0.0633955001831054,0,119,0,152622,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.035357,0.0644474029541015,0,120,0,153914,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0354235,0.0645139217376709,0,121,0,155206,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0354235,0.0645139217376709,0,122,0,156498,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0354235,0.0645139217376709,0,123,0,157790,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0364242,0.0655145645141601,0,124,0,159082,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0364242,0.0655145645141601,0,125,0,160374,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0364242,0.0655145645141601,0,126,0,161666,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
